Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
 ,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,700,000",
SURVEY,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,700,000",
SURVEY,2009,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,800,000",
SURVEY,2010,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,800,000",
SURVEY,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,000,000",
SURVEY,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"700,000",
SURVEY,2013,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"8,100,000",
SURVEY,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,500,000",
SURVEY,2015,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,800,000",
SURVEY,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,000,000",
SURVEY,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,000,000",
SURVEY,2009,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"600,000",
SURVEY,2010,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"600,000",
SURVEY,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"500,000",
SURVEY,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,APPLES,"APPLES, NOT HARVESTED - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"500,000",
